id,employee,action
135,7,0
136,6,0
137,11,0
138,11,0
139,11,0
140,11,0
141,3,0
142,3,0
143,3,0
144,7,0
145,6,0
146,7,0
147,3,0
148,0,0
149,11,0
150,11,0
151,11,0
152,11,0
153,11,0
154,11,0
155,11,0
156,7,0
157,11,0
158,6,0
159,11,0
160,3,0
161,3,0
162,3,0
163,3,0
164,11,0
165,3,0
166,3,0
167,3,0
168,3,0
169,3,0
170,3,0
171,3,0
172,3,0
173,3,0
174,3,0
175,3,0
176,3,0
177,3,0
178,3,0
179,11,0
180,3,0
181,3,0
182,11,0
183,11,0
184,3,0
185,3,0
186,3,0
187,3,0
188,3,0
189,3,0
190,3,0
191,3,0
192,3,0
193,11,0
194,10,0
195,3,0
196,3,0
197,10,0
198,11,0
199,3,0
200,3,0
201,3,0
202,3,0
203,3,0
204,3,0
205,3,0
206,3,0
207,3,0
208,6,0
209,6,0
210,6,0
211,6,0
212,4,0
213,11,0
214,3,0
215,3,0
216,3,0
217,11,0
218,11,0
219,1,0
220,11,0
221,3,0
222,11,0
223,11,0
224,3,0
225,3,0
226,3,0
227,3,0
228,3,0
229,3,0
230,10,0
231,3,0
232,3,0
233,11,0
234,11,0
235,3,0
236,3,0
237,3,0
238,11,0
239,11,0
240,11,0
241,10,0
242,6,0
243,0,0
244,0,0
245,11,0
246,11,0
247,3,0
248,6,0
249,11,0
250,6,0
251,11,0
252,11,0
253,3,0
254,11,0
255,11,0
256,11,0
257,11,0
258,11,0
259,11,0
260,11,0
261,11,0
262,11,0
263,11,0
264,3,0
265,3,0
266,11,0
267,3,0
268,11,0
269,11,0
270,11,0
271,11,0
272,11,0
273,6,0
274,6,0
275,11,0
276,11,0
277,6,0
278,11,0
279,11,0
280,11,0
281,0,0
282,11,0
283,11,0
284,0,0
285,7,0
286,11,0
287,7,0
288,6,0
289,7,0
290,7,0
291,7,0
292,4,0
293,7,0
294,6,0
295,6,0
296,6,0
297,6,0
298,11,0
299,10,0
300,11,0
301,10,0
302,11,0
303,7,0
304,4,0
305,10,0
306,4,0
307,4,0
308,4,0
309,6,0
310,11,0
311,11,0
312,4,0
313,6,0
314,6,0
315,7,0
316,11,0
317,7,0
318,7,0
319,7,0
320,7,0
321,4,0
322,6,0
323,4,0
324,4,0
325,4,0
326,4,0
327,6,0
328,6,0
329,4,0
330,4,0
331,6,0
332,6,0
333,4,0
334,0,0
335,7,0
336,4,0
337,11,0
338,1,0
339,4,0
340,11,0
341,11,0
342,4,0
343,4,0
344,6,0
345,4,0
346,0,0
347,6,0
348,4,0
349,4,0
350,7,0
351,4,0
352,4,0
353,4,0
354,0,0
355,4,0
356,4,0
357,4,0
358,4,0
359,4,0
360,0,0
361,4,0
362,4,0
363,4,0
364,4,0
365,4,0
366,4,0
367,4,0
368,8,0
369,4,0
370,4,0
371,4,0
372,7,0
373,10,0
374,10,0
375,11,0
376,11,0
377,6,0
378,11,0
379,11,0
380,11,0
381,11,0
382,11,0
383,10,0
384,11,0
385,11,0
386,11,0
387,11,0
388,7,0
389,6,0
390,11,0
391,7,0
392,1,0
393,6,0
394,6,0
395,10,0
396,11,0
397,6,0
398,11,0
399,11,0
400,11,0
401,0,0
402,6,0
403,11,0
404,11,0
405,11,0
406,11,0
407,11,0
408,6,0
409,11,0
410,1,0
411,10,0
412,11,0
413,11,0
414,6,0
415,6,0
416,11,0
417,11,0
418,11,0
419,6,0
420,11,0
421,6,0
422,11,0
423,7,0
424,11,0
425,11,0
426,11,0
427,11,0
428,11,0
429,11,0
430,11,0
431,6,0
432,6,0
433,11,0
434,1,0
435,7,0
436,7,0
437,7,0
438,11,0
439,11,0
440,11,0
441,4,0
442,11,0
443,4,0
444,4,0
445,4,0
