id,employee,action
135,7,11
136,6,4
137,11,10
138,11,9
139,11,11
140,11,4
141,3,5
142,3,5
143,3,8
144,7,11
145,6,4
146,7,11
147,3,10
148,0,0
149,11,10
150,11,11
151,11,10
152,11,5
153,11,11
154,11,5
155,11,10
156,7,11
157,11,3
158,6,2
159,11,1
160,3,1
161,3,4
162,3,5
163,3,2
164,11,5
165,3,10
166,3,2
167,3,2
168,3,5
169,3,2
170,3,2
171,3,1
172,3,10
173,3,2
174,3,10
175,3,2
176,3,2
177,3,2
178,3,5
179,11,4
180,3,4
181,3,5
182,11,5
183,11,5
184,3,1
185,3,2
186,3,10
187,3,10
188,3,10
189,3,10
190,3,2
191,3,4
192,3,4
193,11,2
194,10,2
195,3,2
196,3,2
197,10,2
198,11,5
199,3,5
200,3,5
201,3,5
202,3,2
203,3,4
204,3,2
205,3,5
206,3,2
207,3,2
208,6,5
209,6,4
210,6,4
211,6,2
212,4,2
213,11,5
214,3,1
215,3,2
216,3,2
217,11,2
218,11,4
219,1,10
220,11,10
221,3,5
222,11,5
223,11,5
224,3,2
225,3,5
226,3,4
227,3,11
228,3,2
229,3,2
230,10,2
231,3,5
232,3,4
233,11,5
234,11,11
235,3,10
236,3,1
237,3,2
238,11,10
239,11,10
240,11,11
241,10,11
242,6,4
243,0,0
244,0,0
245,11,5
246,11,1
247,3,1
248,6,12
249,11,12
250,6,2
251,11,2
252,11,2
253,3,2
254,11,5
255,11,2
256,11,5
257,11,4
258,11,4
259,11,4
260,11,4
261,11,4
262,11,4
263,11,4
264,3,3
265,3,9
266,11,2
267,3,10
268,11,5
269,11,10
270,11,4
271,11,10
272,11,10
273,6,4
274,6,5
275,11,5
276,11,10
277,6,4
278,11,5
279,11,10
280,11,4
281,0,10
282,11,5
283,11,10
284,0,0
285,7,10
286,11,4
287,7,11
288,6,10
289,7,3
290,7,3
291,7,10
292,4,2
293,7,10
294,6,10
295,6,5
296,6,5
297,6,5
298,11,10
299,10,5
300,11,10
301,10,5
302,11,5
303,7,1
304,4,2
305,10,6
306,4,6
307,4,12
308,4,12
309,6,12
310,11,12
311,11,6
312,4,1
313,6,6
314,6,6
315,7,11
316,11,10
317,7,9
318,7,3
319,7,3
320,7,3
321,4,12
322,6,12
323,4,12
324,4,12
325,4,12
326,4,12
327,6,12
328,6,12
329,4,12
330,4,12
331,6,12
332,6,12
333,4,1
334,0,2
335,7,1
336,4,2
337,11,5
338,1,10
339,4,1
340,11,5
341,11,5
342,4,1
343,4,2
344,6,5
345,4,5
346,0,2
347,6,5
348,4,5
349,4,3
350,7,9
351,4,1
352,4,2
353,4,5
354,0,5
355,4,1
356,4,2
357,4,5
358,4,5
359,4,1
360,0,1
361,4,16
362,4,16
363,4,1
364,4,2
365,4,9
366,4,9
367,4,9
368,8,9
369,4,12
370,4,6
371,4,5
372,7,11
373,10,4
374,10,11
375,11,10
376,11,10
377,6,4
378,11,10
379,11,10
380,11,10
381,11,3
382,11,9
383,10,10
384,11,10
385,11,5
386,11,5
387,11,10
388,7,10
389,6,5
390,11,5
391,7,10
392,1,10
393,6,10
394,6,10
395,10,5
396,11,5
397,6,5
398,11,5
399,11,4
400,11,10
401,0,2
402,6,2
403,11,10
404,11,10
405,11,4
406,11,5
407,11,10
408,6,5
409,11,5
410,1,10
411,10,5
412,11,4
413,11,10
414,6,11
415,6,4
416,11,4
417,11,5
418,11,5
419,6,10
420,11,5
421,6,4
422,11,5
423,7,5
424,11,10
425,11,5
426,11,4
427,11,5
428,11,11
429,11,10
430,11,10
431,6,4
432,6,5
433,11,10
434,1,10
435,7,10
436,7,4
437,7,5
438,11,11
439,11,3
440,11,3
441,4,12
442,11,3
443,4,12
444,4,8
445,4,12
446,4,4
447,4,4
448,4,12
449,4,3
450,4,3
451,6,12
452,6,4
453,6,4
454,6,4
455,6,5
456,4,5
457,3,8
458,10,8
459,11,4
460,10,12
461,11,12
462,4,5
463,4,5
464,11,4
465,11,4
466,3,8
467,4,2
468,4,12
469,4,1
470,3,8
471,4,4
472,10,4
473,4,4
474,3,8
475,3,8
476,3,8
477,4,12
478,4,4
479,7,4
480,6,12
481,4,3
482,6,12
483,4,12
484,6,12
485,7,5
486,10,11
487,7,10
488,11,4
489,7,5
490,7,11
491,11,10
492,7,11
493,7,4
494,6,4
495,6,5
496,7,5
497,6,4
498,11,4
499,4,1
500,11,11
501,11,4
502,7,4
503,6,4
504,11,2
505,6,2
506,7,1
507,6,6
508,4,6
509,11,2
510,4,1
511,4,12
512,4,3
513,11,1
514,5,4
515,6,6
516,11,6
517,5,4
518,3,1
519,3,1
520,11,5
521,5,10
522,7,11
523,5,4
524,5,4
525,5,1
526,5,4
527,6,1
528,6,3
529,5,4
530,5,4
531,5,4
532,11,4
533,5,5
534,1,3
535,3,8
536,11,1
537,11,4
538,11,2
539,3,8
540,3,8
541,3,8
542,3,8
543,6,1
544,6,2
545,4,12
546,6,1
547,6,12
548,6,12
549,4,12
550,11,6
551,3,5
552,4,12
553,4,9
554,11,12
555,6,4
556,6,6
557,11,6
558,11,6
559,11,4
560,11,6
561,11,4
562,11,6
563,11,6
564,11,2
565,6,6
566,11,2
567,11,2
568,6,12
569,4,1
570,11,2
571,6,1
572,11,2
573,11,2
574,6,2
575,11,6
576,11,6
577,11,2
578,11,2
579,11,12
580,11,12
581,11,6
582,0,0
583,11,6
584,11,6
585,11,1
586,11,2
587,11,5
588,11,4
589,7,4
590,11,2
591,7,10
592,11,10
593,7,4
594,7,4
595,11,5
596,11,2
597,11,5
598,11,5
599,11,10
600,7,4
